production_budget_usd,worldwide_gross_usd
7500000.00,1788324.00
55000000.00,1807990.00
12000000.00,1828400.00
16000000.00,1844228.00
7000000.00,1857458.00
10000000.00,1884251.00
7000000.00,1891936.00
14000000.00,1903952.00
7000000.00,1933829.00
12000000.00,1950194.00
15000000.00,1953732.00
10000000.00,1953882.00
15000000.00,1954202.00
15000000.00,1970268.00
35000000.00,2000000.00
20000000.00,2000000.00
11000000.00,2000000.00
5200000.00,2000000.00
9000000.00,2000093.00
15000000.00,2013340.00
6500000.00,2025032.00
7000000.00,2053330.00
12000000.00,2062406.00
12000000.00,2104164.00
13000000.00,2104439.00
6100000.00,2108367.00
17000000.00,2110050.00
19000000.00,2119994.00
19000000.00,2119994.00
5952000.00,2120439.00
10000000.00,2151098.00
45000000.00,2154540.00
7000000.00,2165637.00
10000000.00,2179623.00
11000000.00,2200000.00
35000000.00,2221994.00
20000000.00,2246000.00
8000000.00,2256606.00
12500000.00,2272186.00
8000000.00,2275557.00
16800000.00,2281089.00
20000000.00,2282710.00
17000000.00,2315000.00
12000000.00,2326407.00
10000000.00,2341218.00
11000000.00,2352511.00
10000000.00,2373937.00
13000000.00,2394619.00
18000000.00,2401413.00
27000000.00,2412123.00
8000000.00,2455027.00
14000000.00,2461628.00
8000000.00,2476491.00
18000000.00,2483790.00
20000000.00,2507181.00
6000000.00,2522928.00
10000000.00,2529395.00
9000000.00,2548378.00
8300000.00,2598224.00
13000000.00,2613717.00
7000000.00,2667084.00
10000000.00,2678525.00
17000000.00,2694071.00
7000000.00,2703821.00
23000000.00,2715657.00
30000000.00,2717302.00
8000000.00,2721534.00
8000000.00,2772511.00
11000000.00,2794056.00
16000000.00,2814566.00
20700000.00,2840417.00
11000000.00,2844379.00
7000000.00,2852759.00
10800000.00,2862544.00
13000000.00,2898225.00
32000000.00,2899970.00
26000000.00,2923959.00
36000000.00,2954405.00
12000000.00,2975188.00
10000000.00,3000000.00
6500000.00,3027956.00
20000000.00,3051292.00
13000000.00,3058380.00
7900000.00,3129471.00
9000000.00,3134509.00
8500000.00,3180252.00
10000000.00,3185717.00
11000000.00,3231251.00
30000000.00,3252550.00
7500000.00,3257922.00
10000000.00,3260179.00
13000000.00,3260555.00
8000000.00,3270974.00
6000000.00,3273588.00
10000000.00,3275585.00
5600000.00,3281898.00
10000000.00,3311924.00
8900000.00,3324131.00
6000000.00,3330012.00
10000000.00,3336053.00
7500000.00,3347647.00
12500000.00,3350943.00
10000000.00,3357324.00
15000000.00,3386153.00
80000000.00,3390128.00
15000000.00,3393606.00
15000000.00,3436763.00
9000000.00,3438735.00
9000000.00,3440939.00
6000000.00,3456602.00
44000000.00,3484523.00
6000000.00,3485383.00
15000000.00,3503761.00
10000000.00,3541565.00
7500000.00,3559803.00
7000000.00,3571624.00
8000000.00,3582797.00
8000000.00,3587191.00
32000000.00,3588602.00
13000000.00,3617277.00
10000000.00,3623609.00
9000000.00,3703064.00
25000000.00,3711633.00
30000000.00,3721988.00
20000000.00,3727746.00
6000000.00,3740030.00
25000000.00,3771345.00
10000000.00,3793739.00
6400000.00,3804977.00
25000000.00,3823620.00
26700000.00,3871448.00
5900000.00,3910861.00
17000000.00,3917679.00
9000000.00,3922043.00
15000000.00,3925769.00
12500000.00,3931367.00
36000000.00,4020990.00
15000000.00,4023741.00
12500000.00,4027663.00
25000000.00,4049527.00
25000000.00,4064333.00
22000000.00,4065020.00
24000000.00,4084232.00
18000000.00,4100000.00
7500000.00,4151836.00
9200000.00,4199334.00
6400000.00,4199874.00
18500000.00,4221341.00
11000000.00,4234355.00
7500000.00,4239767.00
8500000.00,4273372.00
14000000.00,4288246.00
14000000.00,4289993.00
9000000.00,4313644.00
30000000.00,4315789.00
6000000.00,4316497.00
9000000.00,4333569.00
24000000.00,4356126.00
32000000.00,4357406.00
12500000.00,4360548.00
7000000.00,4372561.00
10000000.00,4376820.00
20000000.00,4383538.00
6000000.00,4398989.00
42000000.00,4408420.00
46000000.00,4408636.00
20000000.00,4453327.00
27000000.00,4485485.00
35000000.00,4496583.00
20000000.00,4504111.00
28700000.00,4559569.00
10000000.00,4563080.00
8000000.00,4604656.00
12000000.00,4606284.00
35000000.00,4651977.00
10000000.00,4659110.00
23000000.00,4673377.00
10000000.00,4690802.00
10000000.00,4708127.00
10000000.00,4710507.00
6000000.00,4713059.00
8000000.00,4714090.00
7000000.00,4720371.00
5400000.00,4728896.00
14000000.00,4741987.00
19000000.00,4750000.00
5250000.00,4801837.00
5500000.00,4865000.00
30000000.00,4874498.00
12000000.00,4880941.00
12000000.00,4922166.00
9000000.00,4934104.00
15000000.00,4956401.00
30000000.00,4967493.00
12000000.00,4984663.00
22000000.00,5000000.00
13000000.00,5002310.00
30000000.00,5015080.00
7000000.00,5017971.00
20000000.00,5031975.00
10000000.00,5045359.00
21000000.00,5046038.00
19000000.00,5103675.00
18000000.00,5112960.00
7500000.00,5142858.00
10000000.00,5149131.00
13000000.00,5175088.00
27000000.00,5204007.00
15000000.00,5217498.00
10000000.00,5241315.00
9600000.00,5256839.00
9500000.00,5278632.00
12000000.00,5295909.00
25000000.00,5297411.00
20000000.00,5313608.00
8000000.00,5314194.00
20000000.00,5345869.00
12000000.00,5400624.00
75000000.00,5409517.00
7000000.00,5430822.00
10000000.00,5437126.00
29200000.00,5466698.00
38000000.00,5473041.00
9000000.00,5512151.00
